[2015-01-22 22:15:44] EDIT Frick/views/default/lightbox.html: -5
[2015-01-22 22:18:12] EDIT Frick/views/default/lightbox.html: 7
[2015-01-22 22:18:19] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:18:24] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:18:41] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:19:09] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:19:48] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:20:25] EDIT Frick/views/default/lightbox.html: -5
[2015-01-22 22:21:25] EDIT Frick/views/default/lightbox.html: 3
[2015-01-22 22:21:39] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:21:42] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:24:15] EDIT Frick/views/default/lightbox.html: 2
[2015-01-22 22:24:38] EDIT Frick/views/default/lightbox.html: 2
[2015-01-22 22:24:49] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:24:51] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:25:18] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:28:00] EDIT Frick/views/default/lightbox.html: 1
[2015-01-22 22:29:47] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:30:11] EDIT Frick/views/default/lightbox.html: 0
[2015-01-22 22:30:21] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:32:22] EDIT Frick/views/default/lightbox.html: 1
[2015-01-23 11:35:26] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:35:51] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:36:11] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:36:25] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:36:29] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:36:46] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:58:42] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 11:59:01] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 15:26:51] EDIT Frick/views/default/lightbox.html: 1
[2015-01-23 15:26:58] EDIT Frick/views/default/lightbox.html: 0
[2015-01-23 15:27:00] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:14:26] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:15:09] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:15:42] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:16:15] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:16:46] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:17:00] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:17:20] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:17:31] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:39:24] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 14:41:42] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:41:51] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 14:42:14] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:42:19] EDIT Frick/views/default/lightbox.html: 2
[2015-01-25 14:44:17] EDIT Frick/views/default/lightbox.html: 2
[2015-01-25 14:44:22] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 14:45:00] EDIT Frick/views/default/lightbox.html: 2
[2015-01-25 14:47:05] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 14:47:57] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:48:17] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 14:48:19] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:00:38] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:00:51] EDIT Frick/views/default/lightbox.html: 2
[2015-01-25 15:05:10] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:05:21] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:05:26] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:06:43] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:06:44] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:19:49] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 15:20:02] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:38:40] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:39:40] EDIT Frick/views/default/lightbox.html: 6
[2015-01-25 15:40:14] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:40:31] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 15:40:41] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 15:56:14] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 15:56:29] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:25:44] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 16:27:14] EDIT Frick/views/default/lightbox.html: 5
[2015-01-25 16:27:16] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:28:15] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 16:28:25] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:28:31] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:29:19] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:29:33] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:29:38] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:30:02] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 16:30:25] EDIT Frick/views/default/lightbox.html: -1
[2015-01-25 18:15:29] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 18:16:04] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 18:16:22] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 18:16:41] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 18:16:54] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 18:17:50] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 18:50:40] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 18:50:41] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 18:50:51] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 18:50:57] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 19:21:30] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 19:21:46] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 19:22:02] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 19:23:46] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 19:23:51] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 19:23:52] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 19:24:18] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 21:13:00] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 21:42:15] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:43:00] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:52:13] EDIT Frick/views/default/lightbox.html: 6
[2015-01-25 21:52:18] EDIT Frick/views/default/lightbox.html: -1
[2015-01-25 21:52:28] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 21:56:11] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 21:56:18] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 21:56:43] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:58:07] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:58:18] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:58:40] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 21:59:01] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 21:59:45] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 21:59:53] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 21:59:57] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 22:00:02] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:00:06] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:00:34] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:01:54] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 22:02:12] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 22:03:52] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 22:04:02] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:04:58] EDIT Frick/views/default/lightbox.html: 3
[2015-01-25 22:05:00] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:06:31] EDIT Frick/views/default/lightbox.html: 1
[2015-01-25 22:06:55] EDIT Frick/views/default/lightbox.html: 2
[2015-01-25 22:07:27] EDIT Frick/views/default/lightbox.html: 0
[2015-01-25 22:07:53] EDIT Frick/views/default/lightbox.html: 0
